epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3203125,1.847891092300415,,
0,99,0.390625,1.7623233795166016,,
0,149,0.40625,1.5475386381149292,,
0,199,0.4296875,1.548480749130249,,
0,249,0.5,1.3275419473648071,,
0,299,0.4296875,1.5325175523757935,,
0,349,0.4609375,1.4610531330108643,,
0,390,,,0.46869999170303345,1.463147759437561
1,399,0.53125,1.320989727973938,,
1,449,0.5546875,1.311799168586731,,
1,499,0.546875,1.3263745307922363,,
1,549,0.6171875,1.2708910703659058,,
1,599,0.4765625,1.3880318403244019,,
1,649,0.578125,1.3506067991256714,,
1,699,0.5703125,1.199384093284607,,
1,749,0.5234375,1.2449121475219727,,
1,781,,,0.5425000190734863,1.2739979028701782
2,799,0.5859375,1.1598238945007324,,
2,849,0.6015625,1.2111769914627075,,
2,899,0.6640625,1.0433415174484253,,
2,949,0.53125,1.313209891319275,,
2,999,0.5625,1.116368293762207,,
2,1049,0.5859375,1.162146806716919,,
2,1099,0.578125,1.1231261491775513,,
2,1149,0.6015625,1.0213024616241455,,
2,1172,,,0.5781000256538391,1.1833730936050415
3,1199,0.609375,1.1725558042526245,,
3,1249,0.65625,1.0502835512161255,,
3,1299,0.5625,1.0459914207458496,,
3,1349,0.640625,1.078814148902893,,
3,1399,0.65625,1.0806381702423096,,
3,1449,0.578125,1.2893601655960083,,
3,1499,0.640625,1.049180269241333,,
3,1549,0.5859375,1.13291335105896,,
3,1563,,,0.6072999835014343,1.10149085521698
4,1599,0.609375,1.0623663663864136,,
4,1649,0.671875,0.9458645582199097,,
4,1699,0.5859375,1.101164698600769,,
4,1749,0.5546875,1.1942607164382935,,
4,1799,0.6484375,1.0297726392745972,,
4,1849,0.6640625,0.9853962063789368,,
4,1899,0.6328125,1.1070430278778076,,
4,1949,0.7421875,0.8265268206596375,,
4,1954,,,0.6172000169754028,1.0675262212753296
5,1999,0.7265625,0.8177610039710999,,
5,2049,0.7265625,0.9204697608947754,,
5,2099,0.625,1.0245788097381592,,
